"x"
"1",2.72
"2",2.562
"3",2.532
"4",2.495
"5",1.998
"6",1.522
"7",1.272
"8",1.201
"9",1.349
"10",1.696
"11",2.166
"12",2.669
"13",2.954
"14",3.122
"15",3.049
"16",2.759
"17",2.673
"18",2.721
"19",2.709
"20",2.498
"21",2.385
"22",2.679
"23",3.184
"24",3.54
"25",3.704
"26",3.361
"27",3.104
"28",2.824
"29",2.253
"30",1.959
"31",2.103
"32",2.379
"33",2.715
"34",3.612
"35",4.615
"36",5.202
"37",5.301
"38",5.254
"39",5.063
"40",4.412
"41",3.936
"42",3.723
"43",3.599
"44",3.253
"45",2.963
"46",3.001
"47",3.095
"48",3.739
"49",5.186
"50",6.016
"51",5.162
"52",4.013
"53",3.322
"54",2.889
"55",2.733
"56",2.678
"57",2.848
"58",3.167
"59",3.638
"60",4.127
"61",4.294
"62",4.091
"63",4.032
"64",4.042
"65",3.911
"66",3.978
"67",3.822
"68",3.784
"69",4.165
"70",4.544
"71",4.988
"72",5.652
"73",6.358
"74",6.192
"75",5.196
"76",4.108
"77",3.499
"78",3.436
"79",3.536
"80",3.579
"81",3.864
"82",4.194
"83",4.978
"84",6.761
"85",8.887
"86",8.674
"87",7.452
"88",6.673
"89",6.015
"90",5.505
"91",5.179
"92",5.126
"93",5.003
"94",5.038
"95",5.703
"96",7.042
"97",8.656
"98",8.272
"99",7.98
"100",7.925
"101",6.282
"102",4.741
"103",3.965
"104",4.055
"105",4.677
"106",5.492
"107",6.566
"108",8.415
"109",9.525
"110",9.469
"111",8.557
"112",7.012
"113",6.128
"114",5.998
"115",6.303
"116",6.311
"117",5.951
"118",5.991
"119",6.85
"120",8.558
"121",9.759
"122",9.35
"123",9.15
"124",8.737
"125",7.544
"126",6.399
"127",5.63
"128",5.724
"129",6.473
"130",7.47
"131",8.355
"132",8.425
