Category,Sector,Industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Private,Transportation and warehousing,Air transportation,114.3,111.1,114.6,123.7,107.2,100.7,109.9,120.5,133.6,145.1,156,165,136.3,153.6,170.4,178.1,181,187.5,188.8,186.5
Private,Transportation and warehousing,Rail transportation,39,38.9,39.5,40.1,40.7,41.3,42.3,46.6,52.6,59.3,61.9,69.5,55.4,67,76.1,79.3,81.7,88.2,81.4,74.7
Private,Transportation and warehousing,Water transportation,24.6,24.8,26.2,27.6,27.7,27,31.3,37.3,39.3,42.2,48.3,54.7,49.2,54,56.6,59.3,60.6,62.3,59.7,57.3
Private,Transportation and warehousing,Truck transportation,164.2,176.5,188.4,201.3,202.1,206,211.9,234.3,259.7,276.7,283.2,287.6,233.2,253.4,281.5,300.8,310,336.7,335.3,331
Private,Transportation and warehousing,Transit and ground passenger transportation,24.2,26.4,26.2,25.9,26.7,27.3,28,33.3,36.9,42.3,44.8,45.3,45.1,45.8,48.9,51.9,55.1,60.1,61.6,60.2
Private,Transportation and warehousing,Pipeline transportation,24.3,24.2,24.2,23.2,22.7,22.3,22.5,23.2,23,24.4,25.9,29.4,24,25.8,27.4,27.5,29.3,31.7,33.4,33.4
Private,Transportation and warehousing,Other transportation and support activities,83.8,93.9,103.5,115.3,118.9,123.1,129.7,141.5,151.7,166.6,177.8,183.3,159.2,168.7,183.6,193.1,201.8,215.3,226.3,229.6
Private,Transportation and warehousing,Warehousing and storage,26.3,28.6,31.1,33.8,36.4,39.7,45.2,49.7,53.2,61.5,69,73,71.1,76.3,80.4,84.5,87.5,90.2,93.2,94.3
Private,Information,"Publishing industries, except internet (includes software)",190.9,214.1,238.1,254.2,259.3,262,258.7,273.4,283.2,292.6,304.4,308.1,286.6,288.2,299,301.1,310.3,324.4,326.8,345.5
Private,Information,Motion picture and sound recording industries,86.3,93.7,101.2,110.3,112,119.5,127.3,127.4,131.5,134.3,135.7,132.7,125.9,136.1,137.9,144.1,148.4,146.6,155.3,158.8
Private,Information,Broadcasting and telecommunications,403.7,445.2,505.5,562.7,579.9,577,574.5,587.2,610.2,627.3,648.7,669.2,660.4,690.4,716.7,747.7,772.3,818.2,847.8,879.4
Private,Information,"Data processing, internet publishing, and other information services",46.8,51.2,61.5,73.7,76.7,82.7,84.6,92.1,98.4,110.8,119.8,132.7,132.5,141.2,155.2,173.7,187.9,203.9,227.5,238.6
Private,Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities",428.5,463.8,515,563.1,601.1,641.6,663.4,675.2,708.9,728.5,737.9,716.7,689.8,664.2,640.9,666.5,676.2,705.9,752.9,801.6
Private,Finance and insurance,"Securities, commodity contracts, and investments",204.9,244.2,290.8,357.1,313.8,287.4,309.2,345.7,383.2,448.5,503.4,432.7,403,418.4,410.2,425.2,455.5,487.3,491.4,493.9
Private,Finance and insurance,Insurance carriers and related activities,358.7,384.8,405.2,438.8,457.9,476.8,518.4,571.1,625.9,657.5,703.6,710.4,662.4,699.4,743.8,755.1,797.4,865.4,916.5,946.3
Private,Finance and insurance,"Funds, trusts, and other financial vehicles",56.4,65.3,75,91.5,82.4,72.6,71.2,82.1,90,99.9,116.6,120.1,99.2,106.8,112.2,116.1,135.6,143.4,166.6,166.5
Private,Real estate and rental and leasing,Housing,852.3,905.9,962.4,1022.7,1097.6,1146.7,1190.6,1260.8,1351.6,1438.4,1496.8,1553.4,1591,1605.5,1656.3,1701.3,1744.1,1820.4,1920.1,2018.7
Private,Real estate and rental and leasing,Other real estate,384.3,402.1,431,484.1,505.8,571.7,641.5,757,894.4,901.5,876.5,793.8,726.4,761.7,770.8,833,902.6,1005.9,1027.3,1087.3
Private,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,148.1,168.6,186.3,208.2,207.8,199.9,217.4,229.3,248.1,259.5,267.9,287.8,249,266.6,284.5,300.2,320.4,346,345.9,348.6
Private,Professional and business services,Legal services,158.4,174,185.1,191.9,205.3,216.1,239.5,251.3,268.3,279.1,288.5,287.7,276.4,280.1,289.7,297.7,301,307.9,321.8,331.8
Private,Professional and business services,Computer systems design and related services,121.3,152.2,183.1,206.7,204.7,194.3,192.2,195.4,208.6,221.8,249.5,271.5,266.2,289.9,311.1,331.2,337.6,354.9,357.4,379.6
Private,Professional and business services,"Miscellaneous professional, scientific, and technical services",525.9,572.8,617.3,683.6,708.3,717,741.3,802.1,867.4,929,1005.1,1057.2,1006.2,1039.1,1087.2,1134,1159.5,1231.3,1292.6,1334.5
Private,Professional and business services,Management of companies and enterprises,196.1,221.9,240.2,260.5,259.6,262.5,281.2,319.4,353.2,384.5,431.7,439.3,415.3,447.1,484,531,558,594.9,629.3,634.1
Private,Professional and business services,Administrative and support services,309.8,353,385.6,423.2,418.5,414,434.4,469.6,513.2,549.2,588.6,602.5,558.5,588.6,628.5,661.6,688.2,750.3,799.1,845.8
Private,Professional and business services,Waste management and remediation services,41.8,46.2,50.4,52.3,52.9,52.9,56.7,61.4,66.2,72.8,75.8,79.8,73.8,82.6,85.3,85.7,87.1,91.7,92.3,95.8
Private,"Educational services, health care, and social assistance",Educational services,115.5,123.9,133,144,157.4,166.4,176.1,182.9,193,209.3,227.1,244.4,259,279.4,292.8,299,307,317.4,329.1,339.6
Private,"Educational services, health care, and social assistance",Ambulatory health care services,389.1,409.3,426.8,453.7,494.1,531.1,568.6,609.8,645.2,674.3,710.9,750.9,777.3,805.2,840.2,871.3,890.4,931.2,983.4,1026.4
Private,"Educational services, health care, and social assistance",Hospitals,271.9,290.4,304.3,320.9,347,382.7,409.9,436.3,470.8,503.1,531.1,566.3,602.8,623.7,654.1,694,719.4,744.3,802.5,849.6
Private,"Educational services, health care, and social assistance",Nursing and residential care facilities,94.1,100.8,104.6,111.2,120,127.1,136,143.4,153.5,162,171.5,180.7,186.6,194.2,202,208.4,213.9,220.6,230,239
Private,"Educational services, health care, and social assistance",Social assistance,62.4,67.1,74.5,83.9,94.5,101.4,107.2,110.8,117.5,124.8,134.1,143.4,149.3,156.3,159.5,162,164.8,172.2,180.1,188.7
Private,"Arts, entertainment, recreation, accommodation, and food services","Performing arts, spectator sports, museums, and related activities",59,64.2,68.8,75.1,82.4,90.3,97,100.7,106,115.9,126.3,131.8,132.3,132.2,136.5,144.4,149.1,158.3,168.7,175.1
Private,"Arts, entertainment, recreation, accommodation, and food services","Amusements, gambling, and recreation industries",67.1,68.4,72.7,74.4,73.5,74.8,81.4,89,93.7,103.9,112.7,114.8,110.8,113,118.9,124.9,131.2,137.3,145.5,154.3
Private,"Arts, entertainment, recreation, accommodation, and food services",Accommodation,117.9,124.6,134.4,150.9,145.6,148.7,154.1,166.7,179.3,189.4,196.1,197.6,178.4,178.8,189.4,203.3,213,229.1,242,249.4
Private,"Arts, entertainment, recreation, accommodation, and food services",Food services and drinking places,304.1,321.9,338.1,362.5,378.4,399,418.2,443.8,467.1,493.1,513,525.3,521.6,540,570.4,603.6,627.1,668.3,723.1,765.2
Private,"Other services, except government","Other services, except government",351.3,382.7,401.1,423.6,441.1,457,468.1,486.6,496.2,522.3,533.8,551.6,526,539.6,554.7,585.3,599.1,639,658.4,690.2
Government,Federal,National defense,304.3,299.9,312.7,320.7,339.4,374.2,426,464.2,495.1,521.6,548,605.9,636.5,676.8,688.3,679.7,639.9,626.6,614.7,612
Government,Federal,Nondefense,159.9,163.2,168.4,182.6,195.6,217.6,235.9,251.8,267.5,282.4,290.6,316.7,341.5,373.4,368.4,375,368.1,376.8,393.7,402.7
Government,Federal,Government enterprises,72.8,75.6,78.1,80.3,81.3,83,83.7,85.6,85.9,92.6,96,98.4,96.2,95.9,94.6,98,91.1,92.9,92.7,92.1
Government,State and local,General government,998.7,1058.7,1137.1,1223.7,1316.3,1381.8,1432.5,1510.1,1594.1,1685,1788,1879.7,1913.9,1942.3,1961.8,1982,2020.3,2083,2143.4,2201
Government,State and local,Government enterprises,130.1,134.8,141.2,146.9,154.5,161.5,171,182.2,196.5,212,224.1,235.2,243.2,251.1,258.8,264.5,272.2,280.7,288.7,297.5
