Year,IV_Emp,IV_All,NIV_Emp,NIV_All,Removed,Apprehended,Returned,Enforcement
1870,,387203,,,,,,
1869,,352768,,,,,,
1868,,138840,,,,,,
1867,,315722,,,,,,
1866,,318568,,,,,,
1865,,248120,,,,,,
1864,,193418,,,,,,
1863,,176282,,,,,,
1862,,91985,,,,,,
1861,,91918,,,,,,
1860,,153640,,,,,,
1859,,121282,,,,,,
1858,,123126,,,,,,
1857,,251306,,,,,,
1856,,200436,,,,,,
1855,,200877,,,,,,
1854,,427833,,,,,,
1853,,368645,,,,,,
1852,,371603,,,,,,
1851,,379466,,,,,,
1850,,369980,,,,,,
1849,,297024,,,,,,
1848,,226527,,,,,,
1847,,234968,,,,,,
1846,,154416,,,,,,
1845,,114371,,,,,,
1844,,78615,,,,,,
1843,,52496,,,,,,
1842,,104565,,,,,,
1841,,80289,,,,,,
1840,,84066,,,,,,
1839,,68069,,,,,,
1838,,38914,,,,,,
1837,,79340,,,,,,
1836,,76242,,,,,,
1835,,45374,,,,,,
1834,,65365,,,,,,
1833,,58640,,,,,,
1832,,60482,,,,,,
1831,,22633,,,,,,
1830,,23322,,,,,,
1829,,22520,,,,,,
1828,,27382,,,,,,
1827,,18875,,,,,,
1826,,10837,,,,,,
1825,,10199,,,,,,
1824,,7912,,,,,,
1823,,6354,,,,,,
1822,,6911,,,,,,
1821,,9127,,,,,,
1820,,8385,,,,,,
