State1,County1,State2,County2,State3,County3,Returns,Exemptions,Income
36,001,,,NY,Albany Total Migration F,7563,12217,
36,1,36,083,NY,Rensselaer,1230,2076,
36,1,36,093,NY,Schenectady,956,1526,
36,1,36,091,NY,Saratoga,853,1367,
36,1,36,039,NY,Greene,212,425,
36,1,36,021,NY,Columbia,134,201,
36,1,36,103,NY,Suffolk,127,182,
36,1,36,067,NY,Onondaga,111,166,
36,1,36,081,NY,Queens,110,181,
36,1,36,061,NY,New York,108,170,
36,1,36,055,NY,Monroe,105,148,
36,1,36,119,NY,Westchester,94,134,
36,1,36,111,NY,Ulster,91,120,
36,1,36,059,NY,Nassau,90,137,
36,1,57,001,FR,Foreign / Overseas,89,145,
36,1,36,047,NY,Kings,88,134,
36,1,36,065,NY,Oneida,88,128,
36,1,36,029,NY,Erie,87,146,
36,1,36,095,NY,Schoharie,87,147,
36,1,36,113,NY,Warren,76,101,
36,1,36,071,NY,Orange,73,94,
36,1,25,017,Ma,Middlesex,70,107,
36,1,36,027,NY,Dutchess,65,84,
36,1,36,005,NY,Bronx,63,106,
36,1,36,019,NY,Clinton,54,82,
36,1,36,057,NY,Montgomery,53,77,
36,1,36,007,NY,Broome,48,68,
36,1,36,115,NY,Washington,47,61,
36,1,36,035,NY,Fulton,47,77,
36,1,36,087,NY,Rockland,43,57,
36,1,25,003,Ma,Berkshire,43,70,
36,1,09,003,Ct,Hartford,40,81,
36,1,36,077,NY,Otsego,38,54,
36,1,25,025,Ma,Suffolk,32,38,
36,1,34,003,NJ,Bergen,31,41,
36,1,36,089,NY,St. Lawrence,29,34,
36,1,36,031,NY,Essex,29,40,
36,1,36,043,NY,Herkimer,28,36,
36,1,36,109,NY,Tompkins,27,41,
36,1,12,011,Fl,Broward,27,44,
36,1,06,037,Ca,Los Angeles,27,36,
36,1,36,045,NY,Jefferson,26,40,
36,1,11,001,DC,"Wash.,D.C.",25,30,
36,1,12,103,Fl,Pinellas,25,36,
36,1,25,021,Ma,Norfolk,24,28,
36,1,25,027,Ma,Worcester,22,42,
36,1,36,033,NY,Franklin,21,28,
36,1,25,013,Ma,Hampden,21,30,
36,1,09,001,Ct,Fairfield,20,34,
36,1,06,073,Ca,San Diego,19,33,
36,1,36,105,NY,Sullivan,19,22,
36,1,42,101,Pa,Philadelphia,19,29,
36,1,36,085,NY,Richmond,19,38,
36,1,09,009,Ct,New Haven,19,27,
36,1,24,031,Md,Montgomery,18,39,
36,1,33,011,NH,Hillsborough,18,26,
36,1,36,075,NY,Oswego,18,29,
36,1,36,025,NY,Delaware,18,31,
36,1,25,009,Ma,Essex,18,34,
36,1,34,023,NJ,Middlesex,17,23,
36,1,50,003,Vt,Bennington,17,22,
36,1,36,015,NY,Chemung,16,23,
36,1,42,003,Pa,Allegheny,16,33,
36,1,12,025,Fl,Dade,16,27,
36,1,17,031,Il,Cook,16,24,
36,1,23,005,Me,Cumberland,16,29,
36,1,12,099,Fl,Palm Beach,16,31,
36,1,34,017,NJ,Hudson,16,33,
36,1,36,023,NY,Cortland,16,25,
36,1,36,079,NY,Putnam,15,21,
36,1,44,007,RI,Providence,15,29,
36,1,51,059,Va,Fairfax,15,20,
36,1,04,013,Az,Maricopa,14,27,
36,1,48,201,Tx,Harris,14,27,
36,1,12,095,Fl,Orange,13,23,
36,1,36,017,NY,Chenango,12,19,
36,1,36,101,NY,Steuben,12,15,
36,1,50,007,Vt,Chittenden,12,15,
36,1,36,117,NY,Wayne,12,20,
36,1,06,085,Ca,Santa Clara,12,15,
36,1,15,003,Hi,Honolulu,11,20,
36,1,36,053,NY,Madison,11,13,
36,1,51,510,Va,Alexandria city,11,17,
36,1,34,031,NJ,Passaic,11,13,
36,1,06,059,Ca,Orange,11,22,
36,1,36,013,NY,Chautauqua,11,17,
36,1,36,011,NY,Cayuga,11,13,
36,1,25,015,Ma,Hampshire,11,15,
36,1,50,021,Vt,Rutland,11,13,
36,1,34,027,NJ,Morris,10,14,
36,1,36,069,NY,Ontario,10,15,
36,1,09,011,Ct,New London,10,18,
36,1,09,005,Ct,Litchfield,10,22,
36,1,12,127,Fl,Volusia,10,20,
36,1,34,013,NJ,Essex,10,19,
36,1,12,057,Fl,Hillsborough,10,17,
36,1,,,XX,Same State,55,73,
36,1,,,XX,Region 1: Northeast,248,423,
36,1,,,XX,Region 2: Midwest,207,372,
36,1,,,XX,Region 3: South,417,793,
36,1,,,XX,Region 4: West,140,249,
36,1,36,001 ,XX,County Non-Migrants,108081,217336,
36,3,,,NY,Allegany Total Migration,972,2038,
36,3,36,009,NY,Cattaraugus,124,294,
36,3,36,101,NY,Steuben,103,238,
36,3,36,029,NY,Erie,68,124,
36,3,36,055,NY,Monroe,61,96,
36,3,36,051,NY,Livingston,44,89,
36,3,36,121,NY,Wyoming,34,85,
36,3,42,105,Pa,Potter,25,54,
36,3,36,063,NY,Niagara,21,36,
36,3,36,013,NY,Chautauqua,19,38,
36,3,57,001,FR,Foreign / Overseas,19,29,
36,3,42,083,Pa,McKean,13,28,
36,3,36,037,NY,Genesee,11,31,
36,3,36,069,NY,Ontario,10,17,
36,3,,,XX,Same State,79,143,
36,3,,,XX,Region 1: Northeast,111,234,
36,3,,,XX,Region 2: Midwest,41,98,
36,3,,,XX,Region 3: South,134,297,
36,3,,,XX,Region 4: West,55,107,
36,3,36,003 ,XX,County Non-Migrants,14343,35278,
36,5,,,NY,Bronx Total Migration Fl,15372,30271,
36,5,36,061,NY,New York,5856,12302,
36,5,36,047,NY,Kings,1915,3887,
36,5,36,081,NY,Queens,1903,3819,
36,5,36,119,NY,Westchester,1329,2467,
36,5,57,001,FR,Foreign / Overseas,233,427,
36,5,36,059,NY,Nassau,231,373,
36,5,34,017,NJ,Hudson,222,415,
36,5,36,103,NY,Suffolk,213,389,
36,5,34,003,NJ,Bergen,167,316,
36,5,12,025,Fl,Dade,143,263,
36,5,36,087,NY,Rockland,133,224,
36,5,09,001,Ct,Fairfield,121,212,
36,5,34,013,NJ,Essex,115,217,
36,5,36,085,NY,Richmond,114,207,
36,5,34,031,NJ,Passaic,94,218,
36,5,06,037,Ca,Los Angeles,81,140,
36,5,12,011,Fl,Broward,67,112,
36,5,36,071,NY,Orange,65,111,
36,5,34,023,NJ,Middlesex,58,96,
36,5,57,003,FR,Foreign / Puerto Rico,53,124,
36,5,36,027,NY,Dutchess,53,87,
36,5,25,025,Ma,Suffolk,48,67,
