State1,County1,State2,County2,State3,County3,Returns,Exemptions,Income
36,1,,,NY,Albany Total Migration F,8029,13528,
36,1,36,83,NY,Rensselaer,1447,2475,
36,1,36,93,NY,Schenectady,1205,2243,
36,1,36,91,NY,Saratoga,1132,2030,
36,1,36,39,NY,Greene,181,362,
36,1,36,21,NY,Columbia,104,180,
36,1,36,61,NY,New York,103,118,
36,1,36,55,NY,Monroe,92,132,
36,1,36,67,NY,Onondaga,82,126,
36,1,36,29,NY,Erie,75,107,
36,1,36,57,NY,Montgomery,64,132,
36,1,36,95,NY,Schoharie,63,129,
36,1,36,113,NY,Warren,62,96,
36,1,36,111,NY,Ulster,60,80,
36,1,36,103,NY,Suffolk,54,70,
36,1,36,65,NY,Oneida,54,93,
36,1,25,17,Ma,Middlesex,53,72,
36,1,25,25,Ma,Suffolk,50,53,
36,1,36,59,NY,Nassau,48,52,
36,1,36,81,NY,Queens,45,67,
36,1,36,47,NY,Kings,45,63,
36,1,42,3,Pa,Allegheny,44,70,
36,1,36,27,NY,Dutchess,44,68,
36,1,36,119,NY,Westchester,43,53,
36,1,36,71,NY,Orange,43,59,
36,1,12,11,Fl,Broward,43,62,
36,1,6,37,Ca,Los Angeles,41,50,
36,1,12,99,Fl,Palm Beach,39,58,
36,1,57,1,FR,Foreign / Overseas,38,71,
36,1,36,115,NY,Washington,33,68,
36,1,17,31,Il,Cook,33,54,
36,1,24,31,Md,Montgomery,33,53,
36,1,36,35,NY,Fulton,32,58,
36,1,4,13,Az,Maricopa,31,58,
36,1,57,5,FR,APO / FPO Zip Code,31,42,
36,1,12,103,Fl,Pinellas,31,50,
36,1,9,3,Ct,Hartford,30,42,
36,1,36,19,NY,Clinton,30,41,
36,1,11,1,DC,"Wash.,D.C.",26,29,
36,1,36,7,NY,Broome,26,49,
36,1,9,1,Ct,Fairfield,25,34,
36,1,36,77,NY,Otsego,25,43,
36,1,34,3,NJ,Bergen,25,46,
36,1,12,25,Fl,Dade,24,31,
36,1,36,5,NY,Bronx,24,37,
36,1,9,9,Ct,New Haven,23,32,
36,1,34,23,NJ,Middlesex,21,39,
36,1,6,75,Ca,San Francisco,21,22,
36,1,25,13,Ma,Hampden,21,37,
36,1,42,101,Pa,Philadelphia,21,24,
36,1,53,33,Wa,King,21,26,
36,1,25,21,Ma,Norfolk,21,25,
36,1,34,27,NJ,Morris,20,34,
36,1,51,810,Va,Virginia Beach city,20,48,
36,1,6,73,Ca,San Diego,20,25,
36,1,12,95,Fl,Orange,20,24,
36,1,8,13,Co,Boulder,19,22,
36,1,13,121,Ga,Fulton,19,29,
36,1,12,115,Fl,Sarasota,19,33,
36,1,51,59,Va,Fairfax,19,41,
36,1,12,57,Fl,Hillsborough,18,36,
36,1,36,33,NY,Franklin,18,29,
36,1,25,3,Ma,Berkshire,18,21,
36,1,36,89,NY,St. Lawrence,18,30,
36,1,42,91,Pa,Montgomery,17,29,
36,1,36,87,NY,Rockland,17,21,
36,1,36,31,NY,Essex,17,26,
36,1,36,109,NY,Tompkins,17,20,
36,1,48,201,Tx,Harris,17,25,
36,1,50,3,Vt,Bennington,17,23,
36,1,25,27,Ma,Worcester,17,25,
36,1,12,127,Fl,Volusia,16,36,
36,1,39,49,Oh,Franklin,16,26,
36,1,32,3,Nv,Clark,15,27,
36,1,13,67,Ga,Cobb,14,27,
36,1,51,710,Va,Norfolk city,14,25,
36,1,33,11,NH,Hillsborough,14,23,
36,1,12,105,Fl,Polk,14,21,
36,1,12,71,Fl,Lee,14,25,
36,1,24,33,Md,Prince George's,14,20,
36,1,36,43,NY,Herkimer,13,15,
36,1,47,37,Tn,Davidson,13,19,
36,1,44,7,RI,Providence,13,18,
36,1,12,101,Fl,Pasco,13,20,
36,1,6,59,Ca,Orange,13,20,
36,1,51,13,Va,Arlington,13,17,
36,1,39,61,Oh,Hamilton,13,21,
36,1,13,89,Ga,De Kalb,12,16,
36,1,36,75,NY,Oswego,12,19,
36,1,37,119,NC,Mecklenburg,12,22,
36,1,42,7,Pa,Beaver,11,26,
36,1,45,51,SC,Horry,11,17,
36,1,25,1,Ma,Barnstable,11,13,
36,1,36,53,NY,Madison,11,17,
36,1,24,5,Md,Baltimore,11,20,
36,1,24,510,Md,Baltimore city,11,13,
36,1,6,67,Ca,Sacramento,11,12,
36,1,12,9,Fl,Brevard,11,17,
36,1,6,85,Ca,Santa Clara,11,13,
36,1,50,7,Vt,Chittenden,11,15,
36,1,6,1,Ca,Alameda,10,14,
36,1,37,183,NC,Wake,10,17,
36,1,50,21,Vt,Rutland,10,16,
36,1,36,45,NY,Jefferson,10,22,
